Pair,Trades,WinRate,Expectancy,MaxDrawdownR,AvgTimeInTradeBars
B-BTCUSDT,103,50.49,1.70,8.00,34.6
B-ETHUSDT,95,50.53,1.77,7.00,38.3
B-XRPUSDT,92,42.39,1.28,9.00,45.1
B-LTCUSDT,70,50.00,1.77,5.50,35.7
B-BCHUSDT,69,36.23,0.87,11.50,31.6
B-ADAUSDT,60,33.33,0.80,8.50,25.4
B-TRXUSDT,88,37.50,0.96,13.00,32.8
B-XLMUSDT,78,29.49,0.65,11.25,34.3
B-IOTAUSDT,78,38.46,1.13,14.00,52.8
B-XMRUSDT,32,40.63,1.31,8.00,26.5
B-DASHUSDT,52,32.69,0.74,12.00,447.1
B-ZECUSDT,71,28.17,0.55,12.50,28.2
B-NEOUSDT,88,37.50,1.13,6.75,36.3
