Pair,TotalBars,EntriesTaken,Trades,SumR,BTCBlocked,VolBlocked,BounceBlocked,RejectionBlocked,LiquidationOverride,EntryRate,ExpectancyPerTrade
B-BTCUSDT,279928,103,103,177.75,0,275972,3788,65,100,0.0004,1.7257
B-ETHUSDT,279858,95,95,170.50,0,276845,2872,46,91,0.0003,1.7947
B-XRPUSDT,267689,92,92,122.50,0,263664,3862,71,89,0.0003,1.3315
B-LTCUSDT,280993,70,70,124.75,0,278242,2636,45,69,0.0002,1.7821
B-BCHUSDT,214838,69,69,64.00,0,212518,2215,36,69,0.0003,0.9275
B-ADAUSDT,271922,60,60,50.00,0,268989,2819,54,59,0.0002,0.8333
B-TRXUSDT,265250,88,88,89.00,0,262354,2747,61,83,0.0003,1.0114
B-XLMUSDT,266531,78,78,55.25,0,263584,2813,56,73,0.0003,0.7083
B-IOTAUSDT,265084,78,78,90.00,0,262599,2348,59,76,0.0003,1.1538
B-XMRUSDT,170463,33,32,42.50,0,169461,951,18,33,0.0002,1.3281
B-DASHUSDT,217222,52,52,40.75,0,215218,1906,46,51,0.0002,0.7837
B-ZECUSDT,239143,71,71,43.50,0,237104,1929,39,69,0.0003,0.6127
B-NEOUSDT,280302,88,88,102.50,0,277323,2813,78,86,0.0003,1.1648
