TradeNumber,EquityR
1,5.25
2,4.25
3,9.50
4,8.50
5,7.50
6,12.75
7,11.75
8,17.00
9,16.00
10,15.00
11,20.25
12,25.50
13,28.50
14,27.50
15,26.50
16,31.75
17,30.75
18,36.00
19,41.25
20,46.50
21,51.75
22,50.75
23,56.00
24,59.00
25,58.00
26,57.00
27,56.00
28,55.00
29,58.00
30,61.00
31,64.00
32,69.25
33,74.50
34,73.50
35,78.00
36,83.25
37,82.25
38,85.25
39,90.50
40,93.50
41,98.75
42,104.00
43,109.25
44,114.50
45,117.50
46,120.50
47,119.50
48,118.50
49,117.50
50,116.50
51,115.50
52,118.50
53,117.50
54,116.50
55,121.75
56,120.75
57,119.75
58,118.75
59,121.75
60,120.75
61,119.75
62,118.75
63,117.75
64,116.75
65,115.75
66,114.75
67,117.75
68,116.75
69,115.75
70,114.75
71,113.75
72,119.00
73,118.00
74,117.00
75,116.00
76,121.25
77,120.25
78,123.25
79,128.50
80,133.00
81,138.25
82,143.50
83,148.00
84,147.00
85,146.00
86,149.00
87,148.00
88,152.50
89,157.75
90,160.75
91,159.75
92,164.25
93,163.25
94,162.25
95,165.25
96,170.50
97,173.50
98,172.50
99,171.50
100,170.50
101,169.50
102,174.75
103,177.75
104,182.25
105,186.75
106,189.75
107,192.75
108,198.00
109,203.25
110,207.75
111,213.00
112,216.00
113,221.25
114,224.25
115,227.25
116,226.25
117,231.50
118,230.50
119,229.50
120,228.50
121,233.00
122,238.25
123,243.50
124,248.75
125,253.25
126,252.25
127,256.75
128,255.75
129,261.00
130,266.25
131,265.25
132,264.25
133,263.25
134,262.25
135,261.25
136,266.50
137,265.50
138,264.50
139,269.75
140,275.00
141,274.00
142,273.00
143,278.25
144,277.25
145,276.25
146,275.25
147,280.50
148,285.75
149,284.75
150,283.75
151,286.75
152,285.75
153,284.75
154,283.75
155,289.00
156,288.00
157,287.00
158,286.00
159,291.25
160,290.25
161,289.25
162,288.25
163,293.50
164,298.75
165,301.75
166,304.75
167,307.75
168,306.75
169,305.75
170,304.75
171,307.75
172,306.75
173,312.00
174,317.25
175,316.25
176,321.50
177,320.50
178,323.50
179,328.75
180,333.25
181,338.50
182,343.75
183,342.75
184,341.75
