Pair,Trades,WinRate,Expectancy,MaxDrawdownR,AvgTimeInTradeBars
B-BTCUSDT,104,50.00,1.29,9.13,27.1
B-ETHUSDT,96,53.13,1.44,5.00,34.6
B-XRPUSDT,94,44.68,1.06,9.00,39.7
B-LTCUSDT,72,50.00,1.27,5.00,28.6
B-BCHUSDT,69,42.03,0.89,7.00,26.9
B-ADAUSDT,61,36.07,0.71,6.25,23.0
B-TRXUSDT,91,40.66,0.86,10.00,27.8
B-XLMUSDT,78,30.77,0.42,12.13,31.2
B-IOTAUSDT,79,40.51,0.86,11.00,50.0
B-XMRUSDT,34,41.18,0.97,8.00,23.1
B-DASHUSDT,52,34.62,0.57,11.00,444.4
B-ZECUSDT,71,30.99,0.44,12.00,23.9
B-NEOUSDT,88,39.77,0.93,6.00,30.8
