TradeNumber,EquityR
1,4.38
2,3.38
3,5.88
4,4.88
5,3.88
6,8.25
7,7.25
8,11.63
9,10.63
10,9.63
11,14.00
12,18.38
13,20.88
14,19.88
15,18.88
16,23.25
17,22.25
18,26.63
19,30.38
20,34.75
21,39.13
22,38.13
23,42.50
24,45.00
25,44.00
26,43.00
27,42.00
28,41.00
29,43.50
30,46.00
31,48.50
32,52.88
33,55.38
34,54.38
35,58.13
36,62.50
37,61.50
38,64.00
39,68.38
40,70.88
41,75.25
42,79.63
43,84.00
44,88.38
45,90.88
46,93.38
47,92.38
48,91.38
49,90.38
50,89.38
51,88.38
52,90.88
53,89.88
54,88.88
55,93.25
56,92.25
57,91.25
58,90.25
59,92.75
60,91.75
61,90.75
62,89.75
63,88.75
64,87.75
65,86.75
66,85.75
67,88.25
68,87.25
69,86.25
70,85.25
71,84.25
72,88.63
73,87.63
74,86.63
75,85.63
76,90.00
77,89.00
78,91.50
79,95.88
80,99.63
81,104.00
82,103.00
83,107.38
84,111.13
85,110.13
86,109.13
87,111.63
88,110.63
89,114.38
90,118.75
91,121.25
92,120.25
93,124.00
94,123.00
95,122.00
96,124.50
97,128.88
98,131.38
99,130.38
100,129.38
101,128.38
102,127.38
103,131.75
104,134.25
105,138.00
106,141.75
107,144.25
108,146.75
109,151.13
110,155.50
111,159.25
112,163.63
113,166.13
114,170.50
115,173.00
116,175.50
117,174.50
118,178.88
119,177.88
120,176.88
121,175.88
122,179.63
123,184.00
124,188.38
125,192.75
126,196.50
127,195.50
128,199.25
129,198.25
130,202.63
131,207.00
132,206.00
133,205.00
134,204.00
135,203.00
136,202.00
137,206.38
138,205.38
139,204.38
140,208.75
141,213.13
142,212.13
143,211.13
144,215.50
145,214.50
146,213.50
147,212.50
148,216.25
149,220.63
150,219.63
151,218.63
152,221.13
153,220.13
154,219.13
155,218.13
156,222.50
157,221.50
158,220.50
159,219.50
160,223.88
161,222.88
162,221.88
163,220.88
164,224.63
165,229.00
166,231.50
167,234.00
168,236.50
169,235.50
170,234.50
171,233.50
172,236.00
173,235.00
174,237.50
175,241.88
176,240.88
177,245.25
178,244.25
179,246.75
180,251.13
181,254.88
182,258.63
183,261.13
184,263.63
185,262.63
186,261.63
187,266.00
188,265.00
189,267.50
190,270.00
191,269.00
192,268.00
193,267.00
194,266.00
195,268.50
196,267.50
197,266.50
198,265.50
199,268.00
200,272.38
201,276.75
202,280.50
203,279.50
204,282.00
205,285.75
206,284.75
207,289.13
208,291.63
209,290.63
210,289.63
211,288.63
212,287.63
213,286.63
214,285.63
215,284.63
216,283.63
217,282.63
218,287.00
219,290.75
220,289.75
221,288.75
222,291.25
223,295.00
224,294.00
225,298.38
226,297.38
227,296.38
228,295.38
229,294.38
230,296.88
231,295.88
232,298.38
233,297.38
234,296.38
235,300.75
236,299.75
237,304.13
238,303.13
239,302.13
240,304.63
241,303.63
242,302.63
243,301.63
244,304.13
245,306.63
246,309.13
247,313.50
248,316.00
249,315.00
250,318.75
251,317.75
252,322.13
253,326.50
254,325.50
255,329.25
256,328.25
257,327.25
258,331.63
259,330.63
260,329.63
261,332.13
262,331.13
263,334.88
264,333.88
265,338.25
266,337.25
267,339.75
268,338.75
269,337.75
270,341.50
271,344.00
272,343.00
273,342.00
274,346.38
275,348.88
276,353.25
277,352.25
278,356.63
279,355.63
280,354.63
281,353.63
282,352.63
283,356.38
284,355.38
285,354.38
286,358.75
287,357.75
288,356.75
289,355.75
290,360.13
291,364.50
292,368.88
293,367.88
294,372.25
295,371.25
296,370.25
297,369.25
298,373.00
299,375.50
300,379.88
301,382.38
302,386.75
303,385.75
304,388.25
305,387.25
306,391.63
307,396.00
308,400.38
309,399.38
310,403.75
311,408.13
312,407.13
313,409.63
314,414.00
315,418.38
316,417.38
317,421.75
318,420.75
319,423.25
320,425.75
321,430.13
322,429.13
323,433.50
324,432.50
325,431.50
326,435.25
327,439.63
328,438.63
329,437.63
330,436.63
331,435.63
332,434.63
333,437.13
334,436.13
335,438.63
336,437.63
337,442.00
338,441.00
339,445.38
340,447.88
341,450.38
342,454.75
343,453.75
344,452.75
345,457.13
346,456.13
347,455.13
348,454.13
349,453.13
350,452.13
351,454.63
352,453.63
353,456.13
354,455.13
355,457.63
356,456.63
357,460.38
358,459.38
359,463.75
360,466.25
361,468.75
362,467.75
363,466.75
364,465.75
365,464.75
366,463.75
367,468.13
368,467.13
369,471.50
370,470.50
371,474.88
372,479.25
373,478.25
374,477.25
375,476.25
376,475.25
377,477.75
378,480.25
379,479.25
380,478.25
381,477.25
382,476.25
383,475.25
384,479.63
385,478.63
386,481.13
387,484.88
388,487.38
389,491.75
390,490.75
391,489.75
392,488.75
393,487.75
394,492.13
395,491.13
396,495.50
397,494.50
398,493.50
399,492.50
400,491.50
401,490.50
402,494.88
403,493.88
404,492.88
405,491.88
406,494.38
407,496.88
408,501.25
409,500.25
410,502.75
411,505.25
412,504.25
413,503.25
414,505.75
