Scope,TP_R,AvgCapture,MedianCapture,LeftOnTableAvgR,LeftOnTableCount,LeftOnTablePct,WinnersAboveTPx2,WinnersAboveTPx2Pct
GLOBAL,2.5,0.8309,0.8769,0.6931,414,1.0000,19,0.0459
B-BTCUSDT,2.5,0.8389,0.8990,0.6123,52,1.0000,2,0.0385
B-ETHUSDT,2.5,0.8539,0.8869,0.5398,51,1.0000,2,0.0392
B-XRPUSDT,2.5,0.8111,0.8406,0.8841,42,1.0000,2,0.0476
B-LTCUSDT,2.5,0.8496,0.8938,0.5958,36,1.0000,1,0.0278
B-BCHUSDT,2.5,0.8079,0.8447,0.7175,29,1.0000,1,0.0345
B-ADAUSDT,2.5,0.7693,0.8207,1.1082,22,1.0000,2,0.0909
B-TRXUSDT,2.5,0.8545,0.8816,0.5468,37,1.0000,2,0.0541
B-XLMUSDT,2.5,0.8100,0.8347,0.7407,24,1.0000,1,0.0417
B-IOTAUSDT,2.5,0.8265,0.8584,0.6609,32,1.0000,1,0.0313
B-XMRUSDT,2.5,0.8313,0.8863,1.0026,14,1.0000,1,0.0714
B-DASHUSDT,2.5,0.8200,0.8658,0.6772,18,1.0000,0,0.0000
B-ZECUSDT,2.5,0.8274,0.8664,0.6364,22,1.0000,1,0.0455
B-NEOUSDT,2.5,0.8490,0.9032,0.6975,35,1.0000,3,0.0857
