Scope,N,Mean,Median,StdDev,Min,Max,Skewness,ExcessKurtosis,JarqueBera,FatTailed,Normal,P5,P10,P25,P50,P75,P90,P95
GLOBAL_R,989,0.9334,-1.0000,2.3440,-1.0000,4.3750,0.4808,-1.6173,145.8999,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
GLOBAL_MFE,989,1.8199,1.4774,2.0155,0.0000,44.6822,10.2368,207.0357,1783618.5617,YES,NO,0.0404,0.1444,0.4843,1.4774,2.7680,3.3299,4.0122
GLOBAL_MAE,989,1.0120,1.0284,1.5274,0.0000,34.0309,14.6418,283.7906,3354137.8831,YES,NO,0.0200,0.1038,0.3708,1.0284,1.2079,1.5661,1.9353
B-BTCUSDT_R,104,1.2909,0.7500,2.3847,-1.0000,4.3750,0.1886,-1.8263,15.0691,NO,NO,-1.0000,-1.0000,-1.0000,0.7500,3.9063,4.3750,4.3750
B-BTCUSDT_MFE,104,2.0115,2.5127,1.3566,0.0000,5.5120,0.3139,-0.5623,3.0783,NO,YES,0.2714,0.3364,0.6521,2.5127,2.7820,3.4470,4.3428
B-BTCUSDT_MAE,104,1.2279,0.9906,3.3824,0.0000,34.0309,8.9556,86.3197,33678.2625,YES,NO,0.0071,0.0676,0.2737,0.9906,1.2094,1.5265,1.8985
B-ETHUSDT_R,96,1.4388,2.5000,2.3833,-1.0000,4.3750,0.0582,-1.8687,14.0229,NO,NO,-1.0000,-1.0000,-1.0000,2.5000,3.7500,4.3750,4.3750
B-ETHUSDT_MFE,96,2.0224,2.5365,1.2839,0.0291,6.8033,0.4247,0.5925,4.2896,YES,YES,0.1744,0.2930,0.7943,2.5365,2.8433,3.2307,3.7867
B-ETHUSDT_MAE,96,0.9052,0.9431,0.8629,0.0000,6.8902,3.6631,23.1003,2349.1835,YES,NO,0.0292,0.1374,0.3140,0.9431,1.1929,1.6348,1.9850
B-XRPUSDT_R,94,1.0625,-1.0000,2.3728,-1.0000,4.3750,0.3647,-1.7684,14.3323,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
B-XRPUSDT_MFE,94,2.0070,2.0413,1.7604,0.0000,11.1822,2.4464,10.7992,550.5310,YES,NO,0.1318,0.2591,0.5887,2.0413,2.8976,3.4065,3.5392
B-XRPUSDT_MAE,94,0.9527,1.0392,0.6835,0.0000,3.6848,1.4023,3.5486,80.1296,YES,NO,0.1405,0.2038,0.3659,1.0392,1.2234,1.5724,2.0474
B-LTCUSDT_R,72,1.2708,0.7500,2.3741,-1.0000,4.3750,0.2019,-1.8287,10.5212,NO,NO,-1.0000,-1.0000,-1.0000,0.7500,3.9063,4.3750,4.3750
B-LTCUSDT_MFE,72,1.8604,2.5119,1.5598,0.0000,7.9399,0.7691,1.3594,12.6413,YES,NO,0.0402,0.0959,0.3386,2.5119,2.8421,3.4892,3.9692
B-LTCUSDT_MAE,72,0.9259,1.0009,1.0412,0.0000,7.2573,3.6558,19.0097,1244.4777,YES,NO,0.0239,0.0846,0.2734,1.0009,1.1364,1.3741,2.6016
B-BCHUSDT_R,69,0.8877,-1.0000,2.3104,-1.0000,4.3750,0.5119,-1.6036,10.4072,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,2.5000,4.3750,4.3750
B-BCHUSDT_MFE,69,1.8440,1.8956,1.3966,0.0000,5.4696,0.2975,-0.8056,2.8840,NO,YES,0.0085,0.0653,0.5225,1.8956,2.8855,3.5327,3.9454
B-BCHUSDT_MAE,69,0.9064,1.0251,0.7102,0.0000,4.6860,2.2779,10.8225,396.4065,YES,NO,0.0082,0.0742,0.3805,1.0251,1.1864,1.4091,1.5605
B-ADAUSDT_R,61,0.7131,-1.0000,2.3419,-1.0000,4.3750,0.6799,-1.5088,10.4863,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
B-ADAUSDT_MFE,61,1.6385,0.7562,1.8012,0.0000,8.4907,1.5587,2.9932,47.4724,YES,NO,0.0333,0.1225,0.2237,0.7562,2.8139,3.2518,4.7245
B-ADAUSDT_MAE,61,0.8670,1.0355,0.5532,0.0000,2.0571,-0.1145,-0.9858,2.6035,NO,YES,0.0234,0.0607,0.3063,1.0355,1.2284,1.4181,1.8267
B-TRXUSDT_R,91,0.8558,-1.0000,2.3149,-1.0000,4.3750,0.5266,-1.6187,14.1420,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
B-TRXUSDT_MFE,91,1.6622,1.3585,1.3283,0.0000,6.7828,0.8213,0.9562,13.6963,YES,NO,0.0673,0.1423,0.4646,1.3585,2.6576,3.1202,3.4053
B-TRXUSDT_MAE,91,0.9568,1.0487,0.6935,0.0000,3.9270,1.4760,4.4746,108.9606,YES,NO,0.0459,0.1426,0.4086,1.0487,1.2051,1.4457,2.0814
B-XLMUSDT_R,78,0.4215,-1.0000,2.1950,-1.0000,4.3750,0.9652,-0.9571,15.0887,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,2.5000,4.3750,4.3750
B-XLMUSDT_MFE,78,2.0291,0.9078,5.0803,0.0000,44.6822,7.7301,64.8752,14455.3917,YES,NO,0.0000,0.0737,0.3942,0.9078,2.6526,3.3899,4.0705
B-XLMUSDT_MAE,78,1.0536,1.0598,0.9808,0.0000,8.2878,5.1617,37.6574,4955.1185,YES,NO,0.0396,0.1478,0.5356,1.0598,1.2022,1.5585,1.9143
B-IOTAUSDT_R,79,0.8608,-1.0000,2.3305,-1.0000,4.3750,0.5323,-1.6245,12.4168,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
B-IOTAUSDT_MFE,79,1.7087,1.2791,1.3906,0.0000,6.1123,0.5930,-0.4122,5.1890,NO,YES,0.0743,0.1187,0.4812,1.2791,2.7010,3.5553,4.0174
B-IOTAUSDT_MAE,79,0.8439,1.0381,0.5211,0.0000,1.9476,-0.1372,-1.1500,4.6014,NO,YES,0.0502,0.1273,0.3187,1.0381,1.1996,1.4900,1.5572
B-XMRUSDT_R,34,0.9743,-1.0000,2.4415,-1.0000,4.3750,0.4603,-1.8537,6.0688,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.7500,4.3750,4.3750
B-XMRUSDT_MFE,34,1.8619,1.3994,2.0190,0.0000,10.9070,2.7082,10.8495,208.3180,YES,NO,0.0651,0.1016,0.4069,1.3994,2.6061,3.0399,3.9011
B-XMRUSDT_MAE,34,0.8577,1.0251,0.6032,0.0000,2.4750,0.2458,-0.1266,0.3650,NO,YES,0.0000,0.0016,0.3514,1.0251,1.1753,1.4118,1.6604
B-DASHUSDT_R,52,0.5721,-1.0000,2.2406,-1.0000,4.3750,0.7999,-1.2627,9.0001,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,2.5000,4.3750,4.3750
B-DASHUSDT_MFE,52,1.5840,1.0427,1.3336,0.0000,4.4898,0.6225,-0.8814,5.0415,NO,YES,0.0337,0.1614,0.4752,1.0427,2.6077,3.5089,4.1267
