Scope,N,Mean,Median,StdDev,Min,Max,Skewness,ExcessKurtosis,JarqueBera,FatTailed,Normal,P5,P10,P25,P50,P75,P90,P95
GLOBAL_R,949,1.6291,-1.0000,3.6137,-1.0000,7.0000,0.6962,-1.4455,159.2871,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,7.0000,7.0000,7.0000
GLOBAL_MFE,949,2.3983,1.4584,2.5556,0.0000,44.6822,5.3196,78.4799,248017.0187,YES,NO,0.0433,0.1446,0.4819,1.4584,4.2090,4.8536,5.4632
GLOBAL_MAE,949,1.1031,1.0603,1.6092,0.0000,34.0309,13.5470,242.1733,2348063.1352,YES,NO,0.0221,0.1315,0.4831,1.0603,1.2607,1.6483,2.0861
B-BTCUSDT_R,96,2.1354,-1.0000,3.6782,-1.0000,7.0000,0.3957,-1.7750,15.1083,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,7.0000,7.0000,7.0000
B-BTCUSDT_MFE,96,2.6360,3.2976,1.9209,0.0000,6.6776,-0.0018,-1.6597,11.0188,NO,NO,0.2743,0.3370,0.6262,3.2976,4.2993,4.8406,5.0452
B-BTCUSDT_MAE,96,1.3544,1.0309,3.5075,0.0000,34.0309,8.6057,79.7143,26602.4076,YES,NO,0.0076,0.0712,0.3849,1.0309,1.2873,1.6035,2.4432
B-ETHUSDT_R,92,2.3261,-1.0000,3.7974,-1.0000,7.0000,0.3058,-1.8968,15.2260,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,7.0000,7.0000,7.0000
B-ETHUSDT_MFE,92,2.8143,2.6865,2.1269,0.0291,8.4861,0.3915,-0.7796,4.6804,NO,YES,0.1727,0.2792,0.7809,2.6865,4.4579,5.0181,5.9422
B-ETHUSDT_MAE,92,0.9770,1.0109,0.8678,0.0000,6.8902,3.5697,22.4127,2120.9794,YES,NO,0.0404,0.1504,0.3749,1.0109,1.2380,1.8406,2.0258
B-XRPUSDT_R,91,1.8681,-1.0000,3.7065,-1.0000,7.0000,0.5537,-1.6812,15.3674,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,7.0000,7.0000,7.0000
B-XRPUSDT_MFE,91,2.7074,2.0557,2.3850,0.0000,11.1822,0.9908,1.0309,18.9188,YES,NO,0.1313,0.2549,0.5703,2.0557,4.2805,5.4341,6.7884
