Pair,Trades,WinRate,Expectancy,MaxDrawdownR,AvgTimeInTradeBars
B-BTCUSDT,92,40.22,2.79,11.00,97.8
B-ETHUSDT,91,41.76,2.78,10.00,110.1
B-XRPUSDT,91,37.36,2.45,9.00,61.0
B-LTCUSDT,69,47.83,3.34,6.00,59.4
B-BCHUSDT,66,28.79,1.73,10.00,65.5
B-ADAUSDT,56,30.36,1.87,8.00,178.2
B-TRXUSDT,85,28.24,1.52,12.00,46.2
B-XLMUSDT,78,21.79,1.08,14.00,41.6
B-IOTAUSDT,76,32.89,2.06,17.00,63.3
B-XMRUSDT,32,28.13,1.74,8.00,43.4
B-DASHUSDT,54,29.63,1.56,11.00,183.9
B-ZECUSDT,69,18.84,0.84,15.25,171.2
B-NEOUSDT,84,30.95,1.90,8.00,75.9
