TradeNumber,EquityR
1,8.75
2,7.75
3,16.50
4,15.50
5,14.50
6,23.25
7,22.25
8,21.25
9,30.00
10,38.75
11,37.75
12,36.75
13,45.50
14,44.50
15,53.25
16,62.00
17,70.75
18,69.75
19,78.50
20,77.50
21,76.50
22,75.50
23,74.50
24,79.50
25,88.25
26,87.25
27,96.00
28,95.00
29,103.75
30,112.50
31,111.50
32,120.25
33,129.00
34,134.00
35,142.75
36,151.50
37,160.25
38,169.00
39,177.75
40,176.75
41,175.75
42,174.75
43,173.75
44,172.75
45,171.75
46,170.75
47,169.75
48,178.50
49,177.50
50,176.50
51,175.50
52,174.50
53,173.50
54,172.50
55,171.50
56,170.50
57,169.50
58,168.50
59,167.50
60,176.25
61,175.25
62,174.25
63,173.25
64,172.25
65,171.25
66,170.25
67,169.25
68,178.00
69,186.75
70,194.25
71,203.00
72,211.75
73,210.75
74,209.75
75,208.75
76,207.75
77,206.75
78,205.75
79,214.50
80,213.50
81,222.25
82,221.25
83,220.25
84,225.25
85,234.00
86,242.75
87,241.75
88,240.75
89,239.75
90,238.75
91,247.50
92,256.25
93,265.00
94,273.75
95,278.75
96,287.50
97,296.25
98,305.00
99,313.75
100,322.50
101,327.50
102,326.50
103,325.50
104,334.25
105,333.25
106,332.25
107,331.25
108,340.00
109,348.75
110,357.50
111,356.50
112,364.00
113,363.00
114,370.50
115,369.50
116,368.50
117,377.25
118,376.25
119,375.25
120,374.25
121,373.25
122,372.25
123,381.00
124,380.00
125,379.00
126,387.75
127,396.50
128,395.50
129,394.50
130,403.25
131,402.25
132,401.25
133,400.25
134,409.00
135,417.75
136,416.75
137,415.75
138,414.75
139,413.75
140,412.75
141,411.75
142,410.75
143,409.75
144,408.75
145,407.75
146,416.50
147,415.50
148,414.50
149,413.50
150,422.25
151,431.00
152,436.00
153,444.75
154,443.75
155,442.75
156,441.75
157,440.75
158,439.75
159,448.50
160,447.50
161,456.25
162,455.25
163,460.25
164,469.00
165,476.50
166,485.25
167,494.00
168,493.00
169,492.00
170,500.75
171,499.75
172,504.75
173,503.75
174,502.75
175,501.75
176,500.75
177,499.75
178,504.75
179,503.75
180,502.75
181,501.75
182,500.75
183,509.50
184,518.25
185,527.00
186,526.00
187,534.75
188,542.25
189,541.25
190,550.00
191,555.00
192,554.00
193,553.00
194,552.00
195,551.00
196,550.00
197,549.00
198,548.00
199,547.00
200,546.00
201,554.75
202,563.50
203,562.50
204,567.50
205,575.00
206,574.00
207,582.75
208,581.75
209,580.75
210,579.75
211,578.75
212,577.75
213,576.75
214,585.50
215,584.50
216,583.50
217,592.25
218,591.25
219,600.00
220,599.00
221,598.00
222,606.75
223,605.75
224,604.75
225,603.75
226,612.50
227,621.25
228,630.00
229,638.75
230,637.75
231,646.50
232,645.50
233,654.25
234,663.00
235,662.00
236,670.75
237,669.75
238,668.75
239,667.75
240,666.75
241,665.75
242,670.75
243,669.75
244,668.75
245,667.75
246,676.50
247,685.25
248,684.25
249,683.25
250,682.25
251,687.25
252,686.25
253,685.25
254,694.00
255,693.00
256,701.75
257,700.75
258,709.50
259,708.50
260,707.50
261,706.50
262,705.50
263,704.50
264,703.50
265,702.50
266,711.25
267,710.25
268,709.25
269,708.25
270,717.00
271,725.75
272,734.50
273,733.50
274,732.50
275,731.50
276,730.50
277,729.50
278,738.25
279,747.00
280,755.75
281,760.75
282,769.50
283,768.50
284,773.50
285,772.50
286,781.25
287,786.25
288,795.00
289,794.00
290,802.75
291,811.50
292,810.50
293,819.25
294,828.00
295,827.00
296,835.75
297,844.50
298,849.50
299,858.25
300,857.25
301,856.25
302,855.25
303,854.25
304,863.00
305,862.00
306,861.00
307,860.00
308,859.00
309,858.00
310,857.00
311,865.75
312,864.75
313,873.50
314,872.50
315,881.25
316,880.25
317,889.00
318,897.75
319,906.50
320,915.25
321,914.25
322,913.25
323,922.00
324,921.00
325,920.00
326,919.00
327,918.00
328,917.00
329,922.00
330,921.00
331,929.75
332,938.50
333,937.50
334,946.25
335,945.25
336,954.00
337,959.00
338,967.75
339,966.75
340,965.75
341,964.75
342,963.75
343,962.75
344,971.50
345,970.50
346,979.25
347,978.25
348,987.00
349,995.75
350,994.75
351,993.75
352,992.75
353,991.75
354,1000.50
355,999.50
356,998.50
357,997.50
358,996.50
359,995.50
360,994.50
361,993.50
362,992.50
363,1001.25
364,1008.75
365,1017.50
366,1016.50
367,1015.50
368,1014.50
369,1013.50
370,1012.50
371,1011.50
372,1010.50
373,1019.25
374,1018.25
375,1017.25
376,1016.25
377,1015.25
378,1014.25
379,1023.00
380,1022.00
381,1021.00
382,1020.00
383,1019.00
384,1027.75
385,1026.75
386,1035.50
387,1034.50
388,1033.50
389,1042.25
390,1051.00
391,1059.75
392,1058.75
393,1067.50
394,1066.50
395,1071.50
396,1070.50
397,1079.25
398,1078.25
399,1087.00
400,1086.00
401,1085.00
402,1084.00
403,1083.00
404,1082.00
405,1081.00
406,1080.00
407,1079.00
408,1078.00
409,1077.00
410,1076.00
411,1084.75
412,1083.75
413,1092.50
414,1101.25
415,1110.00
416,1109.00
417,1117.75
418,1116.75
419,1115.75
420,1114.75
421,1113.75
422,1112.75
423,1111.75
424,1120.50
425,1119.50
426,1118.50
427,1127.25
428,1136.00
429,1143.50
430,1152.25
431,1151.25
432,1160.00
433,1159.00
434,1158.00
435,1157.00
436,1156.00
437,1164.75
438,1163.75
439,1162.75
440,1161.75
441,1160.75
442,1159.75
443,1164.75
444,1163.75
445,1162.75
446,1161.75
447,1160.75
448,1159.75
449,1158.75
450,1157.75
451,1156.75
452,1165.50
453,1164.50
454,1163.50
455,1162.50
456,1161.50
457,1160.50
458,1159.50
459,1168.25
460,1177.00
461,1176.00
462,1175.00
463,1183.75
464,1182.75
465,1181.75
466,1190.50
467,1189.50
468,1198.25
469,1197.25
470,1196.25
471,1195.25
472,1194.25
473,1193.25
474,1192.25
475,1191.25
476,1190.25
477,1195.25
478,1194.25
479,1199.25
480,1198.25
481,1207.00
482,1215.75
483,1223.25
484,1222.25
485,1231.00
486,1230.00
487,1238.75
488,1237.75
489,1236.75
490,1235.75
491,1234.75
492,1233.75
493,1232.75
494,1231.75
495,1230.75
496,1229.75
497,1228.75
498,1227.75
499,1226.75
500,1235.50
501,1234.50
502,1243.25
503,1248.25
504,1253.25
505,1252.25
506,1257.25
507,1256.25
508,1255.25
509,1254.25
510,1263.00
511,1271.75
512,1270.75
513,1269.75
514,1268.75
515,1277.50
516,1276.50
517,1275.50
518,1274.50
519,1273.50
520,1272.50
521,1271.50
522,1270.50
523,1269.50
524,1268.50
525,1267.50
526,1276.25
527,1275.25
528,1274.25
529,1273.25
530,1272.25
531,1271.25
532,1270.25
533,1279.00
534,1278.00
535,1277.00
536,1276.00
537,1275.00
538,1274.00
539,1273.00
540,1281.75
541,1280.75
542,1289.50
543,1298.25
544,1297.25
545,1296.25
546,1295.25
547,1304.00
548,1312.75
549,1311.75
550,1310.75
551,1319.50
552,1324.50
553,1323.50
554,1322.50
555,1321.50
556,1320.50
557,1319.50
558,1328.25
559,1327.25
560,1326.25
561,1325.25
562,1324.25
563,1323.25
564,1322.25
565,1331.00
566,1330.00
567,1329.00
568,1328.00
569,1327.00
570,1335.75
571,1344.50
572,1353.25
573,1362.00
574,1361.00
575,1360.00
576,1359.00
577,1358.00
578,1357.00
579,1356.00
580,1355.00
581,1354.00
582,1353.00
583,1352.00
584,1351.00
585,1350.00
586,1349.00
587,1348.00
588,1356.75
589,1355.75
590,1354.75
591,1353.75
592,1352.75
593,1351.75
594,1350.75
595,1359.50
596,1358.50
597,1357.50
598,1356.50
599,1365.25
600,1364.25
601,1363.25
602,1362.25
603,1371.00
604,1370.00
605,1378.75
606,1387.50
607,1386.50
608,1385.50
609,1384.50
610,1383.50
611,1382.50
612,1381.50
613,1380.50
614,1379.50
615,1378.50
616,1387.25
617,1386.25
618,1395.00
619,1394.00
620,1393.00
621,1392.00
622,1400.75
623,1399.75
624,1398.75
625,1397.75
626,1396.75
627,1395.75
628,1394.75
629,1399.75
630,1408.50
631,1417.25
632,1426.00
633,1425.00
634,1433.75
635,1441.25
636,1440.25
637,1439.25
638,1438.25
639,1447.00
640,1446.00
641,1445.00
642,1444.00
643,1452.75
644,1451.75
645,1460.50
646,1469.25
647,1468.25
648,1467.25
649,1466.25
650,1475.00
651,1483.75
652,1482.75
653,1481.75
654,1490.50
655,1489.50
656,1488.50
657,1487.50
658,1486.50
659,1485.50
660,1484.50
661,1483.50
662,1482.50
663,1481.50
664,1480.50
665,1479.50
666,1478.50
667,1477.50
668,1476.50
669,1475.50
670,1474.50
671,1473.50
672,1482.25
673,1481.25
674,1480.25
675,1487.75
676,1486.75
677,1485.75
678,1484.75
679,1483.75
680,1491.25
681,1490.25
682,1499.00
683,1498.00
684,1497.00
685,1496.00
686,1495.00
687,1494.00
688,1502.75
689,1501.75
690,1510.50
691,1519.25
692,1528.00
693,1527.00
694,1526.00
695,1525.00
696,1524.00
697,1532.75
698,1537.75
699,1536.75
700,1535.75
701,1534.75
702,1543.50
703,1542.50
704,1551.25
705,1550.25
706,1549.25
707,1548.25
708,1557.00
709,1556.00
710,1555.00
711,1554.00
712,1562.75
713,1571.50
714,1570.50
715,1569.50
716,1568.50
717,1577.25
718,1586.00
719,1585.00
720,1584.00
721,1583.00
722,1591.75
723,1590.75
724,1589.75
725,1588.75
726,1587.75
727,1586.75
728,1585.75
729,1584.75
730,1583.75
731,1592.50
732,1591.50
733,1590.50
734,1599.25
735,1608.00
736,1607.00
737,1606.00
738,1605.00
739,1604.00
740,1603.00
741,1602.00
742,1601.00
743,1600.00
744,1608.75
745,1607.75
746,1606.75
747,1615.50
748,1620.50
749,1628.00
750,1627.00
751,1635.75
752,1634.75
753,1633.75
754,1632.75
755,1631.75
756,1630.75
757,1629.75
758,1628.75
759,1627.75
760,1626.75
761,1625.75
762,1624.75
763,1633.50
764,1642.25
765,1649.75
766,1658.50
767,1667.25
768,1666.25
769,1665.25
770,1664.25
771,1663.25
772,1662.25
773,1661.25
774,1670.00
775,1669.00
776,1677.75
777,1676.75
778,1681.75
779,1680.75
780,1679.75
781,1688.50
782,1693.50
783,1698.50
784,1697.50
785,1696.50
786,1695.50
787,1694.50
788,1693.50
789,1692.50
790,1691.50
791,1690.50
792,1689.50
793,1688.50
794,1687.50
795,1686.50
796,1685.50
797,1684.50
798,1683.50
799,1682.50
800,1691.25
801,1700.00
802,1699.00
803,1698.00
804,1697.00
805,1705.75
806,1714.50
807,1713.50
808,1722.25
809,1731.00
810,1730.00
811,1729.00
812,1737.75
813,1736.75
814,1735.75
815,1734.75
816,1733.75
817,1732.75
818,1731.75
819,1730.75
820,1729.75
821,1728.75
822,1727.75
823,1726.75
824,1735.50
825,1744.25
826,1743.25
827,1742.25
828,1741.25
829,1750.00
830,1749.00
831,1748.00
832,1756.75
833,1755.75
834,1754.75
835,1753.75
836,1752.75
837,1751.75
838,1750.75
839,1749.75
840,1748.75
841,1747.75
842,1746.75
843,1755.50
844,1754.50
845,1753.50
846,1752.50
847,1751.50
848,1750.50
849,1749.50
850,1748.50
851,1747.50
852,1746.50
853,1745.50
854,1744.50
855,1743.50
856,1742.50
857,1741.50
858,1750.25
859,1749.25
860,1748.25
861,1753.25
862,1762.00
863,1770.75
864,1769.75
865,1778.50
866,1777.50
867,1786.25
868,1795.00
869,1794.00
870,1793.00
871,1792.00
872,1791.00
873,1790.00
874,1789.00
875,1797.75
876,1796.75
877,1795.75
878,1794.75
879,1803.50
880,1802.50
881,1801.50
882,1800.50
883,1799.50
884,1798.50
885,1797.50
886,1805.00
887,1813.75
888,1822.50
889,1821.50
890,1830.25
891,1829.25
892,1838.00
893,1837.00
894,1836.00
895,1835.00
896,1834.00
897,1833.00
898,1832.00
899,1831.00
900,1830.00
901,1838.75
902,1837.75
903,1836.75
904,1845.50
905,1844.50
906,1843.50
907,1852.25
908,1851.25
909,1850.25
910,1849.25
911,1848.25
912,1857.00
913,1856.00
914,1855.00
915,1854.00
916,1862.75
917,1871.50
918,1870.50
919,1869.50
920,1868.50
921,1876.00
922,1875.00
923,1874.00
924,1873.00
925,1872.00
926,1871.00
927,1870.00
928,1869.00
929,1877.75
930,1886.50
931,1895.25
932,1894.25
933,1893.25
934,1892.25
935,1891.25
936,1890.25
937,1895.25
938,1904.00
939,1903.00
940,1902.00
941,1901.00
942,1900.00
943,1908.75
