Scope,TP_R,AvgCapture,MedianCapture,LeftOnTableAvgR,LeftOnTableCount,LeftOnTablePct,WinnersAboveTPx2,WinnersAboveTPx2Pct
GLOBAL,5,0.8592,0.9162,1.1087,308,1.0000,12,0.0390
B-BTCUSDT,5,0.8936,0.9165,0.6834,37,1.0000,0,0.0000
B-ETHUSDT,5,0.8749,0.9140,0.8273,38,1.0000,0,0.0000
B-XRPUSDT,5,0.8190,0.8826,1.8215,34,1.0000,3,0.0882
B-LTCUSDT,5,0.8774,0.9094,0.8758,33,1.0000,1,0.0303
B-BCHUSDT,5,0.8042,0.8737,1.6781,19,1.0000,2,0.1053
B-ADAUSDT,5,0.8357,0.9334,1.2925,17,1.0000,0,0.0000
B-TRXUSDT,5,0.8584,0.9178,0.9789,24,1.0000,0,0.0000
B-XLMUSDT,5,0.8323,0.9081,1.4088,17,1.0000,1,0.0588
B-IOTAUSDT,5,0.9056,0.9493,0.6388,25,1.0000,0,0.0000
B-XMRUSDT,5,0.8069,0.9373,1.6882,9,1.0000,1,0.1111
B-DASHUSDT,5,0.8302,0.9143,1.4924,16,1.0000,2,0.1250
B-ZECUSDT,5,0.8757,0.9008,0.8978,13,1.0000,0,0.0000
B-NEOUSDT,5,0.8742,0.9183,0.9963,26,1.0000,2,0.0769
