Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-BTCUSDT,1516060800000,1516090500000,13229.92,11460.66950967587,8.75,33,1,0,0,0,1,5.31,0.31
B-BTCUSDT,1520377200000,1520380800000,10659.63,10834.396724213866,-1.00,4,1,0,0,1,1,0.34,1.03
B-BTCUSDT,1522296000000,1522359900000,7751,6993.256314227443,8.75,71,1,0,0,0,1,5.34,0.02
B-BTCUSDT,1523514600000,1523530800000,6903,6980.153482405633,-1.00,18,1,0,0,0,1,2.07,5.16
B-BTCUSDT,1524577500000,1524598200000,9259.99,9431.77794087977,-1.00,23,1,0,0,0,1,0.61,1.14
B-BTCUSDT,1528587900000,1528651800000,7491.73,6842.636394544163,8.75,71,1,0,0,0,1,5.07,0.00
B-BTCUSDT,1534802400000,1534838400000,6330.01,6445.818229479258,-1.00,40,1,0,0,0,1,0.95,1.33
B-BTCUSDT,1536140700000,1539585900000,7092.11,7401.344678764749,-1.00,3828,1,0,0,0,1,3.17,1.90
B-BTCUSDT,1542134700000,1542210300000,6457.34,6239.684431064539,8.75,56,1,0,0,0,1,5.83,0.80
B-BTCUSDT,1542212100000,1543094100000,5929.8,4108.540749855824,8.75,980,1,0,0,1,1,5.15,0.58
B-BTCUSDT,1556813700000,1556847000000,5490.55,5541.336144480646,-1.00,37,1,0,0,1,1,0.29,1.44
B-BTCUSDT,1559520000000,1559527200000,8672.22,8756.12742284843,-1.00,8,1,0,0,0,1,0.65,1.53
B-BTCUSDT,1565745300000,1565826300000,10680,9956.56633542696,8.75,90,1,0,0,1,1,5.20,0.22
B-BTCUSDT,1571960700000,1571983200000,7412.41,7459.687538071231,-1.00,25,1,0,0,0,1,1.09,1.11
B-BTCUSDT,1574324100000,1574348400000,8049.97,7748.154430492197,8.75,27,1,0,0,0,1,9.11,0.23
B-BTCUSDT,1576586700000,1576598400000,6877.59,6667.096573903259,8.75,13,1,0,0,0,1,5.63,0.24
B-BTCUSDT,1577971800000,1577985300000,7122.67,6933.470711289558,8.75,15,1,0,0,0,1,5.23,0.91
B-BTCUSDT,1583946000000,1583952300000,7672.68,7792.552501615901,-1.00,7,1,0,0,0,1,0.69,1.18
B-BTCUSDT,1583976600000,1584008100000,7788.93,7233.1704906525965,8.75,35,1,0,0,0,1,5.48,0.10
B-BTCUSDT,1588085100000,1588100400000,7683.41,7745.876536825797,-1.00,17,1,0,0,1,1,0.29,1.00
B-BTCUSDT,1592145000000,1592149500000,9339.53,9410.826030445696,-1.00,5,1,0,0,0,1,0.27,1.39
B-BTCUSDT,1606723200000,1606737600000,18451.43,18675.183885664315,-1.00,16,1,0,0,0,1,0.56,1.29
B-BTCUSDT,1608066900000,1608112800000,19391.55,19527.638419578092,-1.00,51,1,0,0,1,1,0.85,1.94
B-BTCUSDT,1610277300000,1610347500000,39309.2,33043.85829341119,5.00,78,1,0,0,0,1,5.39,0.65
B-BTCUSDT,1613995200000,1614070800000,53612.28,45171.1460168396,8.75,84,1,0,0,0,1,5.10,0.82
B-BTCUSDT,1624182300000,1624217400000,34986.43,35461.80147437189,-1.00,39,1,0,0,0,1,3.47,1.50
B-BTCUSDT,1632049200000,1632105000000,47898.09,46335.3435295278,8.75,62,1,0,0,0,1,6.68,0.15
B-BTCUSDT,1641321000000,1641374100000,45990.21,46749.42565589911,-1.00,59,1,0,0,0,1,0.65,1.14
B-BTCUSDT,1642714200000,1642801500000,41760.61,36897.666387593876,8.75,97,1,0,0,0,1,5.76,0.01
B-BTCUSDT,1645638300000,1645673400000,38084.48,34843.31455642572,8.75,39,1,0,0,0,1,5.19,0.04
B-BTCUSDT,1647306000000,1647370800000,39167.01,39645.155152531115,-1.00,72,1,0,0,0,1,2.24,1.10
B-BTCUSDT,1649627100000,1649697300000,42706,40265.563929865944,8.75,78,1,0,0,0,1,5.03,0.07
B-BTCUSDT,1650213900000,1650255300000,40200.01,38806.757414845306,8.75,46,1,0,0,0,1,5.48,0.93
B-BTCUSDT,1652062500000,1652121000000,33564.36,30806.087435087633,5.00,65,1,0,0,0,1,5.86,0.50
B-BTCUSDT,1654560000000,1654562700000,31237.25,30280.40559577626,8.75,3,1,0,0,0,1,5.78,0.26
B-BTCUSDT,1654988400000,1655011800000,28467.04,27227.77609456431,8.75,26,1,0,0,1,1,5.15,0.31
B-BTCUSDT,1663494300000,1663554600000,19833.34,18760.458776506795,8.75,67,1,0,0,0,1,5.19,0.98
B-BTCUSDT,1667775600000,1667880000000,20968.18,20007.814474581926,8.75,116,1,0,0,0,1,7.08,0.53
B-BTCUSDT,1668933000000,1669058100000,16583.14,15824.17320259037,8.75,139,1,0,0,0,1,5.46,0.66
B-BTCUSDT,1678130100000,1678158000000,22404.37,22523.065262788354,-1.00,31,1,0,0,0,1,0.71,1.29
B-BTCUSDT,1680452100000,1680456600000,27991.17,28165.525505566016,-1.00,5,1,0,0,0,1,0.37,1.34
B-BTCUSDT,1680463800000,1680478200000,27948.85,28159.47560159574,-1.00,16,1,0,0,0,1,0.43,1.08
B-BTCUSDT,1687200300000,1687220100000,26496,26953.434350070278,-1.00,22,1,0,0,0,1,0.28,1.04
B-BTCUSDT,1691895600000,1691955900000,29406.78,29462.191695,-1.00,67,1,0,0,0,1,1.42,1.22
B-BTCUSDT,1691962200000,1691986500000,29372.42,29432.915731903886,-1.00,27,1,0,0,0,1,4.46,1.12
B-BTCUSDT,1692188100000,1692189000000,29096.95,29178.511275836576,-1.00,1,1,0,0,0,1,0.61,1.03
B-BTCUSDT,1692201600000,1692207000000,29023.9,29164.11018767218,-1.00,6,1,0,0,0,1,0.48,1.01
B-BTCUSDT,1692216900000,1692286200000,28981.99,28097.78302866103,8.75,77,1,0,0,0,1,5.66,0.33
B-BTCUSDT,1693158300000,1693162800000,26065.08,26147.213020236268,-1.00,5,1,0,0,0,1,0.34,1.21
B-BTCUSDT,1693250100000,1693264500000,25975.27,26165.20280762206,-1.00,16,1,0,0,0,1,0.15,1.07
B-BTCUSDT,1694391300000,1694411100000,25797.81,25883.754506611458,-1.00,22,1,0,0,0,1,1.69,1.12
B-BTCUSDT,1694423700000,1694488500000,25672.83,25841.145200625862,-1.00,72,1,0,0,0,1,4.59,1.65
B-BTCUSDT,1694982600000,1694994300000,26463.92,26520.049766751265,-1.00,13,1,0,0,0,1,1.16,1.25
B-BTCUSDT,1695824100000,1695910500000,26338.99,26647.4676369698,-1.00,96,1,0,0,0,1,0.74,1.10
B-BTCUSDT,1696170600000,1696198500000,27112.47,27238.290174868707,-1.00,31,1,0,0,0,1,0.63,7.05
B-BTCUSDT,1698037200000,1698038100000,30727.01,30732.8546876532,-1.00,1,1,0,1,1,0,4.35,34.03
B-BTCUSDT,1698047100000,1698061500000,30518.02,30784.197080767117,-1.00,16,1,0,0,0,1,0.61,1.00
B-BTCUSDT,1699885800000,1699892100000,36675,36946.35285950614,-1.00,7,1,0,0,1,1,0.52,1.31
B-BTCUSDT,1700391600000,1700409600000,36465.99,36574.60735297493,-1.00,20,1,0,0,0,1,0.75,1.60
B-BTCUSDT,1701000000000,1701016200000,37639.63,37227.665912418815,8.75,18,1,0,0,0,1,5.94,0.00
B-BTCUSDT,1701616500000,1701617400000,39582.35,39629.955884944524,-1.00,1,1,0,1,1,0,0.00,3.26
B-BTCUSDT,1704645900000,1704655800000,43922,44224.24060789408,-1.00,11,1,0,1,0,1,0.73,1.04
B-BTCUSDT,1708938900000,1708952400000,51054.01,51367.27702046564,-1.00,15,1,0,0,0,1,0.49,1.06
B-BTCUSDT,1711950300000,1712561400000,69167.48,70447.05790853822,-1.00,679,1,0,0,0,1,3.65,1.31
B-BTCUSDT,1716757200000,1716770700000,68568.79,68768.53161079167,-1.00,15,1,0,0,1,1,2.21,1.27
B-BTCUSDT,1717977600000,1717983000000,69535.84,69678.78293675029,-1.00,6,1,0,0,0,1,0.77,1.03
B-BTCUSDT,1718119800000,1718130600000,66125.68,67123.45685511026,-1.00,12,1,0,0,0,1,0.00,1.11
B-BTCUSDT,1719136800000,1719174600000,64342,63862.35596824691,8.75,42,1,0,0,0,1,7.72,0.91
B-BTCUSDT,1720054800000,1720058400000,60121.87,58160.33584547628,8.75,4,1,0,0,0,1,5.92,0.43
B-BTCUSDT,1722780000000,1722792600000,60495.5,57737.59612341754,7.50,14,1,0,0,0,1,6.11,0.15
B-BTCUSDT,1723374000000,1723408200000,60723.99,58379.88485423359,8.75,38,1,0,0,1,1,5.20,0.11
B-BTCUSDT,1724706900000,1724795100000,62987.01,60590.72093042821,8.75,98,1,0,0,0,1,6.23,0.61
B-BTCUSDT,1726969500000,1727034300000,63046,63226.228256250746,-1.00,72,1,0,0,1,1,3.42,1.02
B-BTCUSDT,1731171600000,1731174300000,75861.32,76192.97996959348,-1.00,3,1,0,0,1,1,0.44,1.14
B-BTCUSDT,1735500600000,1735522200000,93459.79,93960.95565208254,-1.00,24,1,0,0,1,1,0.90,1.63
B-BTCUSDT,1736708400000,1736727300000,94839.03,95128.87412311323,-1.00,21,1,0,0,0,1,3.58,2.60
B-BTCUSDT,1737321300000,1737355500000,104389.99,106563.5408393165,-1.00,38,1,0,0,0,1,2.23,2.39
B-BTCUSDT,1737932400000,1738207800000,103349.66,104846.91223024212,-1.00,306,1,0,0,0,1,3.72,1.07
B-BTCUSDT,1741513500000,1741527900000,85564,83498.92615051022,8.75,16,1,0,0,0,1,5.04,0.14
B-BTCUSDT,1742751000000,1742768100000,84951.38,85472.0674741582,-1.00,19,1,0,1,1,1,0.29,1.40
B-BTCUSDT,1750531500000,1750622400000,102645.22,98407.36067602654,8.75,101,1,0,0,0,1,5.14,0.89
B-BTCUSDT,1751207400000,1751237100000,107860.01,108249.54818581659,-1.00,33,1,0,0,0,1,1.57,1.07
B-BTCUSDT,1753048800000,1753065900000,116918.3,118122.6103074675,-1.00,19,1,0,0,1,1,0.37,1.05
B-BTCUSDT,1755476100000,1755508500000,117142.44,114735.85060893669,5.00,36,1,0,0,0,1,5.18,0.56
B-BTCUSDT,1758501000000,1758520800000,114846.87,112083.00540346887,8.75,22,1,0,0,0,1,5.51,0.07
B-BTCUSDT,1762130700000,1762182900000,109757.11,106237.21547429454,8.75,58,1,0,0,0,1,5.72,0.22
B-BTCUSDT,1765711800000,1765764900000,88877.66,89845.52119683383,-1.00,59,1,0,0,0,1,1.34,1.21
B-BTCUSDT,1767294000000,1767295800000,88110.78,88251.64530633076,-1.00,2,1,0,0,0,1,0.00,1.60
B-BTCUSDT,1768112100000,1768133700000,90666.52,90819.49663000001,-1.00,24,1,0,0,0,1,0.37,1.34
B-BTCUSDT,1768687200000,1768745700000,95188,95332.61700000001,-1.00,65,1,0,0,0,1,2.16,1.30
B-BTCUSDT,1769310900000,1769330700000,89035.32,88160.74910801051,8.75,22,1,0,0,1,1,5.14,0.31
B-BTCUSDT,1769355900000,1769368500000,88446.5,86533.1381439154,8.75,14,1,0,0,0,1,5.27,0.01
B-ETHUSDT,1520356500000,1520440200000,816.68,750.2261636050928,8.75,93,1,0,0,0,1,5.39,0.81
B-ETHUSDT,1521293400000,1521333000000,581.02,531.8346848766358,8.75,44,1,0,0,1,1,5.54,0.59
B-ETHUSDT,1522296000000,1522372500000,430.33,366.92211323328604,5.00,85,1,0,0,0,1,5.07,0.05
B-ETHUSDT,1528587900000,1528650000000,592.87,554.5042828782598,8.75,69,1,0,0,0,1,5.63,0.00
B-ETHUSDT,1533671100000,1533934800000,394.56,338.7753946264281,8.75,293,1,0,0,0,1,5.74,0.05
B-ETHUSDT,1536085800000,1536141600000,285.6,263.3287790122884,8.75,62,1,0,0,0,1,5.75,0.45
B-ETHUSDT,1539134100000,1539218700000,227.37,222.5007972607593,8.75,94,1,0,0,0,1,7.47,0.54
B-ETHUSDT,1542134700000,1542208500000,209.84,195.5137124352962,8.75,54,1,0,0,0,1,5.19,0.44
B-ETHUSDT,1542589200000,1542662100000,173.73,150.99789790112277,5.00,81,1,0,0,0,1,5.22,0.25
B-ETHUSDT,1544064300000,1544073300000,101.38,103.09702821783975,-1.00,10,1,0,0,0,1,3.15,1.00
B-ETHUSDT,1544996700000,1545032700000,84.79,86.03200255222183,-1.00,40,1,0,0,0,1,0.45,1.43
B-ETHUSDT,1548582300000,1548639900000,114.37,110.88092348455294,8.75,64,1,0,0,0,1,6.23,0.32
B-ETHUSDT,1554582600000,1554667200000,167.78,171.52465120128403,-1.00,94,1,0,0,0,1,1.54,1.44
B-ETHUSDT,1561019400000,1561031100000,266.57,267.9655939211841,-1.00,13,1,0,0,0,1,0.62,1.11
B-ETHUSDT,1561464900000,1561499100000,310.14,314.34924024652423,-1.00,38,1,0,0,0,1,0.75,1.11
B-ETHUSDT,1569276000000,1569349800000,200.23,185.81371002658375,8.75,82,1,0,0,0,1,5.98,0.95
B-ETHUSDT,1574324100000,1574334000000,173.82,166.9545695595425,8.75,11,1,0,0,1,1,5.03,0.36
B-ETHUSDT,1574345700000,1574348400000,167.88,161.62268735951304,8.75,3,1,0,0,1,1,8.49,0.03
B-ETHUSDT,1576520100000,1578306600000,135.23,141.45861623802358,-1.00,1985,1,0,0,0,1,3.05,1.02
B-ETHUSDT,1583603100000,1583680500000,238.99,216.36960145018946,7.50,86,1,0,0,0,1,5.19,0.36
B-ETHUSDT,1583946000000,1583960400000,187.84,193.4815545626249,-1.00,16,1,0,0,0,1,1.08,1.05
B-ETHUSDT,1583993700000,1584009900000,175.42,135.28038077122073,7.50,18,1,0,0,0,1,6.28,0.01
B-ETHUSDT,1586106000000,1586108700000,141.55,143.12548337242066,-1.00,3,1,0,1,0,1,0.55,1.38
B-ETHUSDT,1586947500000,1587020400000,157.55,159.71892897006862,-1.00,81,1,0,0,0,1,4.25,1.16
B-ETHUSDT,1592112600000,1592172900000,236.4,230.04093605757575,8.75,67,1,0,0,1,1,5.17,0.47
B-ETHUSDT,1596276900000,1596298500000,353.75,360.5313717393109,-1.00,24,1,0,0,0,1,0.14,1.31
B-ETHUSDT,1600617600000,1600623000000,367.51,372.72878409175576,-1.00,6,1,0,0,0,1,0.48,1.13
B-ETHUSDT,1606723200000,1606734900000,575.3,587.9085095182973,-1.00,13,1,0,0,1,1,0.41,1.30
B-ETHUSDT,1609580700000,1609589700000,725.41,734.4529408077518,-1.00,10,1,0,0,0,1,0.27,1.95
B-ETHUSDT,1610247600000,1610264700000,1320.35,1341.721382416354,-1.00,19,1,0,0,0,1,0.74,1.19
B-ETHUSDT,1610277300000,1610335800000,1280.24,1053.9898350284068,8.75,65,1,0,0,0,1,5.95,0.99
B-ETHUSDT,1614002400000,1614025800000,1652.31,1779.7671670086959,-1.00,26,1,0,0,0,1,0.79,1.02
B-ETHUSDT,1624183200000,1624217400000,2130.82,2188.521523173168,-1.00,38,1,0,0,0,1,1.56,1.90
B-ETHUSDT,1632049200000,1632106800000,3384.71,3202.416821806196,8.75,64,1,0,0,0,1,6.38,0.22
B-ETHUSDT,1642714200000,1642768200000,3126.51,2759.222423720152,8.75,60,1,0,0,0,1,5.39,0.00
B-ETHUSDT,1650213900000,1650233700000,3058.7,3077.062029354774,-1.00,22,1,0,0,0,1,1.95,1.02
B-ETHUSDT,1652017500000,1652034600000,2524,2554.49712691844,-1.00,19,1,0,0,0,1,1.31,1.57
B-ETHUSDT,1654864200000,1654960500000,1739.03,1506.7219056653219,8.75,107,1,0,0,0,1,5.12,0.23
B-ETHUSDT,1666522800000,1666533600000,1304.49,1310.5060495817138,-1.00,12,1,0,0,0,1,0.84,1.22
B-ETHUSDT,1666620900000,1666638000000,1329.58,1349.7750562586489,-1.00,19,1,0,0,0,1,0.18,1.05
B-ETHUSDT,1667775600000,1667849400000,1573.24,1607.24704430635,-1.00,82,1,0,0,0,1,0.79,1.02
B-ETHUSDT,1667856600000,1667883600000,1577.42,1452.501562897599,8.75,30,1,0,0,0,1,5.45,0.16
