Scope,TP_R,AvgCapture,MedianCapture,LeftOnTableAvgR,LeftOnTableCount,LeftOnTablePct,WinnersAboveTPx2,WinnersAboveTPx2Pct
GLOBAL,3,0.8430,0.8809,0.7350,388,1.0000,13,0.0335
B-BTCUSDT,3,0.8548,0.8907,0.6067,52,1.0000,0,0.0000
B-ETHUSDT,3,0.8340,0.8739,0.7198,48,1.0000,1,0.0208
B-XRPUSDT,3,0.8124,0.8593,1.0791,39,1.0000,4,0.1026
B-LTCUSDT,3,0.8307,0.8370,0.7198,35,1.0000,1,0.0286
B-BCHUSDT,3,0.8209,0.8608,1.0302,25,1.0000,1,0.0400
B-ADAUSDT,3,0.8422,0.9174,0.7765,20,1.0000,1,0.0500
B-TRXUSDT,3,0.8563,0.8915,0.6298,33,1.0000,1,0.0303
B-XLMUSDT,3,0.8677,0.8853,0.5487,23,1.0000,1,0.0435
B-IOTAUSDT,3,0.8605,0.8659,0.5558,30,1.0000,1,0.0333
B-XMRUSDT,3,0.8465,0.9413,0.9975,13,1.0000,1,0.0769
B-DASHUSDT,3,0.8491,0.8437,0.6072,17,1.0000,0,0.0000
B-ZECUSDT,3,0.8580,0.8903,0.5744,20,1.0000,0,0.0000
B-NEOUSDT,3,0.8441,0.8938,0.7780,33,1.0000,1,0.0303
