Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-BTCUSDT,1516060800000,1516089600000,13229.92,12168.369705805522,5.25,32,1,0,0,0,1,4.46,0.31
B-BTCUSDT,1520377200000,1520380800000,10659.63,10834.396724213866,-1.00,4,1,0,0,1,1,0.34,1.03
B-BTCUSDT,1522296000000,1522353600000,7751,7296.353788536466,5.25,64,1,0,0,0,1,3.31,0.02
B-BTCUSDT,1523514600000,1523530800000,6903,6980.153482405633,-1.00,18,1,0,0,0,1,2.07,5.16
B-BTCUSDT,1524577500000,1524598200000,9259.99,9431.77794087977,-1.00,23,1,0,0,0,1,0.61,1.14
B-BTCUSDT,1528587900000,1528650000000,7491.73,7102.273836726497,5.25,69,1,0,0,0,1,3.25,0.00
B-BTCUSDT,1534802400000,1534838400000,6330.01,6445.818229479258,-1.00,40,1,0,0,0,1,0.95,1.33
B-BTCUSDT,1536140700000,1536429600000,7092.11,6164.405963705752,5.25,321,1,0,0,0,1,3.05,0.28
B-BTCUSDT,1539141300000,1539197100000,6606.2,6639.6624004524765,-1.00,62,1,0,0,0,1,2.28,1.16
B-BTCUSDT,1539549000000,1539579600000,6367,6410.089753067711,-1.00,34,1,0,0,0,1,1.55,1.51
B-BTCUSDT,1542134700000,1542205800000,6457.34,6326.746658638724,5.25,51,1,0,0,0,1,3.55,0.80
B-BTCUSDT,1542210300000,1542212100000,6232.83,5924.501669722159,5.25,2,1,0,0,1,1,3.14,0.40
B-BTCUSDT,1542589200000,1542615300000,5567.67,5299.411312349706,3.00,29,1,0,0,0,1,3.39,0.53
B-BTCUSDT,1556813700000,1556847000000,5490.55,5541.336144480646,-1.00,37,1,0,0,1,1,0.29,1.44
B-BTCUSDT,1559520000000,1559527200000,8672.22,8756.12742284843,-1.00,8,1,0,0,0,1,0.65,1.53
B-BTCUSDT,1565745300000,1565802000000,10680,10245.939801256176,5.25,63,1,0,0,1,1,4.01,0.22
B-BTCUSDT,1571960700000,1571983200000,7412.41,7459.687538071231,-1.00,25,1,0,0,0,1,1.09,1.11
B-BTCUSDT,1574324100000,1574334000000,8049.97,7868.880658295318,5.25,11,1,0,0,0,1,3.23,0.23
B-BTCUSDT,1574348400000,1574645400000,7581.83,6735.3948633273485,5.25,330,1,0,0,0,1,3.43,0.60
B-BTCUSDT,1576586700000,1576590300000,6877.59,6751.2939443419555,5.25,4,1,0,0,0,1,3.74,0.24
B-BTCUSDT,1577971800000,1577984400000,7122.67,7009.150426773735,5.25,14,1,0,0,0,1,4.84,0.91
B-BTCUSDT,1583946000000,1583952300000,7672.68,7792.552501615901,-1.00,7,1,0,0,0,1,0.69,1.18
B-BTCUSDT,1583976600000,1583995500000,7788.93,7455.474294391558,5.25,21,1,0,0,0,1,3.11,0.10
B-BTCUSDT,1584008100000,1584009000000,7214.64,6637.402332366236,3.00,1,1,0,0,0,1,4.70,0.00
B-BTCUSDT,1588085100000,1588100400000,7683.41,7745.876536825797,-1.00,17,1,0,0,1,1,0.29,1.00
B-BTCUSDT,1592145000000,1592149500000,9339.53,9410.826030445696,-1.00,5,1,0,0,0,1,0.27,1.39
B-BTCUSDT,1606723200000,1606737600000,18451.43,18675.183885664315,-1.00,16,1,0,0,0,1,0.56,1.29
B-BTCUSDT,1608066900000,1608112800000,19391.55,19527.638419578092,-1.00,51,1,0,0,1,1,0.85,1.94
B-BTCUSDT,1610277300000,1610309700000,39309.2,35549.99497604671,3.00,36,1,0,0,0,1,3.35,0.65
B-BTCUSDT,1613995200000,1614003300000,53612.28,48547.59961010376,3.00,9,1,0,0,0,1,3.55,0.27
B-BTCUSDT,1624182300000,1624190400000,34986.43,33560.315576884335,3.00,9,1,0,0,0,1,3.30,0.05
B-BTCUSDT,1632049200000,1632091500000,47898.09,46960.44211771668,5.25,47,1,0,0,0,1,3.42,0.15
B-BTCUSDT,1632105000000,1632182400000,45977.78,42031.48431830299,5.25,86,1,0,0,0,1,3.09,0.11
B-BTCUSDT,1641321000000,1641374100000,45990.21,46749.42565589911,-1.00,59,1,0,0,0,1,0.65,1.14
B-BTCUSDT,1642714200000,1642734900000,41760.61,38842.843832556326,4.50,23,1,0,0,0,1,3.06,0.01
B-BTCUSDT,1645638300000,1645670700000,38084.48,36139.780733855434,5.25,36,1,0,0,0,1,3.49,0.04
B-BTCUSDT,1647306000000,1647370800000,39167.01,39645.155152531115,-1.00,72,1,0,0,0,1,2.24,1.10
B-BTCUSDT,1649627100000,1649671200000,42706,41241.73835791957,3.00,49,1,0,0,0,1,3.05,0.07
B-BTCUSDT,1650213900000,1650255300000,40200.01,39364.058448907184,5.25,46,1,0,0,0,1,5.48,0.93
B-BTCUSDT,1652062500000,1652113800000,33564.36,31909.39646105258,3.00,57,1,0,0,0,1,3.15,0.50
B-BTCUSDT,1654560000000,1654560900000,31237.25,30663.143357465757,5.25,1,1,0,0,0,1,3.16,0.26
B-BTCUSDT,1654988400000,1655001000000,28467.04,27723.481656738586,5.25,14,1,0,0,1,1,4.34,0.31
B-BTCUSDT,1663494300000,1663553700000,19833.34,19189.611265904077,5.25,66,1,0,0,0,1,4.99,0.98
B-BTCUSDT,1667775600000,1667859300000,20968.18,20391.960684749156,5.25,93,1,0,0,0,1,3.04,0.53
B-BTCUSDT,1667875500000,1667880000000,20444.52,19712.610754548437,3.00,5,1,0,0,0,1,3.43,0.37
B-BTCUSDT,1668933000000,1668988800000,16583.14,16127.759921554221,3.00,62,1,0,0,0,1,3.03,0.66
B-BTCUSDT,1678130100000,1678158000000,22404.37,22523.065262788354,-1.00,31,1,0,0,0,1,0.71,1.29
B-BTCUSDT,1680452100000,1680456600000,27991.17,28165.525505566016,-1.00,5,1,0,0,0,1,0.37,1.34
B-BTCUSDT,1680463800000,1680478200000,27948.85,28159.47560159574,-1.00,16,1,0,0,0,1,0.43,1.08
B-BTCUSDT,1687200300000,1687220100000,26496,26953.434350070278,-1.00,22,1,0,0,0,1,0.28,1.04
B-BTCUSDT,1691895600000,1691955900000,29406.78,29462.191695,-1.00,67,1,0,0,0,1,1.42,1.22
