Scope,N,Mean,Median,StdDev,Min,Max,Skewness,ExcessKurtosis,JarqueBera,FatTailed,Normal,P5,P10,P25,P50,P75,P90,P95
GLOBAL_R,976,1.2018,-1.0000,2.7807,-1.0000,5.2500,0.5500,-1.5771,150.3494,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,4.5000,5.2500,5.2500
GLOBAL_MFE,976,2.0239,1.4761,2.1830,0.0000,44.6822,8.1893,149.6542,921695.5945,YES,NO,0.0411,0.1442,0.4823,1.4761,3.2723,3.9063,4.4156
GLOBAL_MAE,976,1.0395,1.0363,1.5353,0.0000,34.0309,14.5602,280.5964,3236349.4958,YES,NO,0.0208,0.1111,0.3875,1.0363,1.2239,1.5913,1.9893
B-BTCUSDT_R,103,1.7257,3.0000,2.8125,-1.0000,5.2500,0.1686,-1.8464,15.1183,NO,NO,-1.0000,-1.0000,-1.0000,3.0000,5.2500,5.2500,5.2500
B-BTCUSDT_MFE,103,2.2659,3.0313,1.5474,0.0000,5.5120,0.0517,-1.3132,7.4464,NO,NO,0.2712,0.3361,0.6500,3.0313,3.3936,4.2252,4.6779
B-BTCUSDT_MAE,103,1.2320,0.9799,3.3983,0.0000,34.0309,8.9141,85.5083,32743.3413,YES,NO,0.0070,0.0671,0.2755,0.9799,1.2110,1.5290,1.9109
B-ETHUSDT_R,95,1.7947,3.0000,2.8649,-1.0000,5.2500,0.1321,-1.9015,14.5892,NO,NO,-1.0000,-1.0000,-1.0000,3.0000,5.2500,5.2500,5.2500
B-ETHUSDT_MFE,95,2.3479,3.0125,1.5775,0.0291,6.8033,0.2043,-0.8406,3.4579,NO,YES,0.1740,0.2895,0.7937,3.0125,3.4330,4.1323,4.7977
B-ETHUSDT_MAE,95,0.9236,0.9900,0.8632,0.0000,6.8902,3.6411,23.0270,2308.7870,YES,NO,0.0286,0.1354,0.3305,0.9900,1.2001,1.6485,1.9930
B-XRPUSDT_R,92,1.3315,-1.0000,2.8065,-1.0000,5.2500,0.4468,-1.7237,14.4515,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,4.5000,5.2500,5.2500
B-XRPUSDT_MFE,92,2.2988,2.0734,2.0318,0.0000,11.1822,1.7012,4.9430,138.0392,YES,NO,0.1315,0.2563,0.5773,2.0734,3.3733,4.1182,4.7016
B-XRPUSDT_MAE,92,1.0000,1.0492,0.6861,0.0000,3.6848,1.3051,3.1839,64.9771,YES,NO,0.1507,0.2313,0.4695,1.0492,1.2647,1.7150,2.0799
B-LTCUSDT_R,70,1.7821,1.0000,2.8921,-1.0000,5.2500,0.1592,-1.9153,10.9953,NO,NO,-1.0000,-1.0000,-1.0000,1.0000,5.2500,5.2500,5.2500
B-LTCUSDT_MFE,70,2.1465,3.0458,1.8015,0.0000,7.9399,0.3468,-0.5333,2.2328,NO,YES,0.0389,0.0909,0.3302,3.0458,3.5928,4.0126,4.3655
B-LTCUSDT_MAE,70,0.9313,1.0009,1.0521,0.0000,7.2573,3.6337,18.6792,1171.7029,YES,NO,0.0236,0.0820,0.2610,1.0009,1.1320,1.3621,2.6233
B-BCHUSDT_R,69,0.9275,-1.0000,2.6590,-1.0000,5.2500,0.7489,-1.3138,11.4116,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.0000,5.2500,5.2500
B-BCHUSDT_MFE,69,2.1144,1.8956,2.0593,0.0000,13.7645,2.6334,13.3704,593.7122,YES,NO,0.0085,0.0653,0.5225,1.8956,3.3148,3.6954,4.2929
B-BCHUSDT_MAE,69,0.9615,1.0523,0.6976,0.0000,4.6860,2.2263,11.0226,406.3085,YES,NO,0.0169,0.0994,0.4001,1.0523,1.2282,1.4091,1.5605
B-ADAUSDT_R,60,0.8333,-1.0000,2.6687,-1.0000,5.2500,0.8207,-1.2734,10.7898,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.3750,5.2500,5.2500
B-ADAUSDT_MFE,60,1.6510,0.7477,1.7556,0.0000,8.4907,1.2694,2.0314,26.4297,YES,NO,0.0329,0.1144,0.2209,0.7477,3.2029,3.4861,4.4993
B-ADAUSDT_MAE,60,0.9132,1.0386,0.5545,0.0000,2.0571,-0.1137,-0.8450,1.9143,NO,YES,0.0302,0.1116,0.3269,1.0386,1.2539,1.5121,1.8466
B-TRXUSDT_R,88,1.0114,-1.0000,2.6835,-1.0000,5.2500,0.6654,-1.4523,14.2277,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.3750,5.2500,5.2500
B-TRXUSDT_MFE,88,1.8763,1.3755,1.5506,0.0000,6.7828,0.6187,-0.4329,6.3021,NO,NO,0.0654,0.1362,0.4719,1.3755,3.1299,3.6271,4.4130
B-TRXUSDT_MAE,88,1.0055,1.0568,0.7419,0.0000,3.9270,1.3405,3.2157,64.2704,YES,NO,0.0446,0.1405,0.4121,1.0568,1.2498,1.6732,2.4207
B-XLMUSDT_R,78,0.7083,-1.0000,2.6909,-1.0000,5.2500,0.9659,-1.0416,15.6558,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,4.1250,5.2500,5.2500
B-XLMUSDT_MFE,78,2.1157,0.9078,5.0957,0.0000,44.6822,7.6106,63.5130,13863.1339,YES,NO,0.0000,0.0737,0.3942,0.9078,3.1790,3.4230,4.0705
B-XLMUSDT_MAE,78,1.0694,1.0651,0.9743,0.0000,8.2878,5.2290,38.3748,5141.4963,YES,NO,0.0396,0.1478,0.6078,1.0651,1.2088,1.5585,1.9143
B-IOTAUSDT_R,78,1.1538,-1.0000,2.8020,-1.0000,5.2500,0.5877,-1.6092,12.9060,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,4.5000,5.2500,5.2500
B-IOTAUSDT_MFE,78,1.8515,1.2637,1.5179,0.0000,6.1123,0.3931,-1.1176,6.0679,NO,NO,0.0724,0.1165,0.4724,1.2637,3.2709,3.7094,4.0192
B-IOTAUSDT_MAE,78,0.8556,1.0556,0.5272,0.0000,1.9476,-0.1882,-1.1847,5.0219,NO,YES,0.0494,0.1249,0.3049,1.0556,1.2155,1.4911,1.5614
B-XMRUSDT_R,32,1.3281,-1.0000,2.9248,-1.0000,5.2500,0.4950,-1.8337,5.7902,NO,YES,-1.0000,-1.0000,-1.0000,-1.0000,5.2500,5.2500,5.2500
B-XMRUSDT_MFE,32,2.0699,1.3994,2.1459,0.0165,10.9070,2.2187,7.6229,103.7309,YES,NO,0.0958,0.1157,0.4459,1.3994,3.0718,3.7676,4.4142
B-XMRUSDT_MAE,32,0.8696,1.0251,0.5971,0.0000,2.4750,0.2885,0.0296,0.4451,YES,YES,0.0000,0.0078,0.3726,1.0251,1.1736,1.4194,1.6978
B-DASHUSDT_R,52,0.7837,-1.0000,2.6453,-1.0000,5.2500,0.8685,-1.1794,9.5510,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.0000,5.2500,5.2500
B-DASHUSDT_MFE,52,1.7117,1.0427,1.4744,0.0000,4.4898,0.5261,-1.3147,6.1432,NO,NO,0.0337,0.1614,0.4752,1.0427,3.0702,3.9774,4.2392
B-DASHUSDT_MAE,52,1.3989,1.0521,3.3944,0.0000,25.1267,6.7531,47.4799,5279.6559,YES,NO,0.0000,0.1297,0.5961,1.0521,1.2097,1.4434,1.6929
B-ZECUSDT_R,71,0.6127,-1.0000,2.6369,-1.0000,5.2500,1.0628,-0.8155,15.3341,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,3.0000,5.2500,5.2500
B-ZECUSDT_MFE,71,1.5823,0.9861,1.4102,0.0000,5.2444,0.7158,-0.8585,8.2442,NO,NO,0.1162,0.1983,0.4128,0.9861,3.0201,3.7453,4.0158
B-ZECUSDT_MAE,71,1.1865,1.0869,0.8081,0.0000,4.3500,1.7710,5.0349,112.1064,YES,NO,0.0514,0.2539,0.8761,1.0869,1.3241,1.9194,2.7059
B-NEOUSDT_R,88,1.1648,-1.0000,2.8605,-1.0000,5.2500,0.6060,-1.6084,14.8706,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,5.2500,5.2500,5.2500
B-NEOUSDT_MFE,88,1.9324,1.3984,1.7351,0.0000,10.0204,1.3718,3.7386,78.8500,YES,NO,0.0503,0.2032,0.4991,1.3984,3.2268,3.5028,4.3874
B-NEOUSDT_MAE,88,1.1149,1.0857,0.9175,0.0000,6.0544,2.4786,10.2841,477.8983,YES,NO,0.0458,0.1149,0.5963,1.0857,1.3644,1.7690,2.3799
